Line  Address  Name        Address 2 Name 2      Ratio BBlocks 1 BBlocks 2 Description                                       
----  -------  ----        --------- ------      ----- --------- --------- -----------                                       
00092 080984a8 sub_80984A8 0802d440  sub_802D440 0.995 12        12        Topological sort hash                             
00083 08034178 sub_8034178 0803b558  sub_803B558 0.990 19        20        Pseudo-code fuzzy hash                            
00084 080347a4 sub_80347A4 0803bbb0  sub_803BBB0 0.990 17        18        Pseudo-code fuzzy hash                            
00085 0803f068 sub_803F068 08047970  sub_8047970 0.990 1         1         Pseudo-code fuzzy hash                            
00100 08070f64 sub_8070F64 08083088  sub_8083088 0.990 31        33        Strongly connected components small-primes-product
00047 08017454 sub_8017454 08017a00  sub_8017A00 0.988 13        13        Same rare MD Index                                
00077 0806cc68 sub_806CC68 08034d44  sub_8034D44 0.988 4         4         Mnemonics small-primes-product                    
00057 080539c4 sub_80539C4 0805c624  sub_805C624 0.980 1         1         Same rare constant                                
00078 08001968 sub_8001968 08001c28  sub_8001C28 0.980 1         1         Pseudo-code fuzzy hash                            
00050 0801a760 sub_801A760 0801b96c  sub_801B96C 0.970 1         1         Same rare constant                                
00055 0803a028 sub_803A028 08041800  sub_8041800 0.970 1         1         Same rare constant                                
00081 080274a8 sub_80274A8 0802c7e4  sub_802C7E4 0.970 1         1         Pseudo-code fuzzy hash                            
00059 08056080 sub_8056080 0805ed64  sub_805ED64 0.960 1         1         Same rare constant                                
00087 0804dafc sub_804DAFC 08057514  sub_8057514 0.960 14        13        Pseudo-code fuzzy hash                            
00090 0806212c sub_806212C 0806f330  sub_806F330 0.960 5         7         Pseudo-code fuzzy hash                            
00052 0801adec sub_801ADEC 0801c094  sub_801C094 0.950 1         1         Same rare constant                                
00091 080645f8 sub_80645F8 08071874  sub_8071874 0.950 1         1         Pseudo-code fuzzy hash                            
00053 0801bf68 sub_801BF68 0801d5e8  sub_801D5E8 0.940 7         9         Same rare constant                                
00080 08026504 sub_8026504 0802b4dc  sub_802B4DC 0.940 1         1         Pseudo-code fuzzy hash                            
00082 080277d0 sub_80277D0 0802cb14  sub_802CB14 0.930 1         1         Pseudo-code fuzzy hash                            
00048 080588e0 sub_80588E0 080a02ec  sub_80A02EC 0.925 13        13        Same rare MD Index                                
00058 08053a44 sub_8053A44 0805c6a8  sub_805C6A8 0.920 1         1         Same rare constant                                
00063 080149e0 sub_80149E0 080b5dbc  sub_80B5DBC 0.917 3         3         Same MD Index and constants                       
00076 0808a42c sub_808A42C 080a6bb0  sub_80A6BB0 0.910 1         1         Same constants                                    
00054 08038954 sub_8038954 0804010c  sub_804010C 0.890 1         1         Same rare constant                                
00064 08020640 sub_8020640 0801759c  sub_801759C 0.885 4         4         Same MD Index and constants                       
