Line  Address  Name        Address 2 Name 2      Ratio BBlocks 1 BBlocks 2 Description                                       
----  -------  ----        --------- ------      ----- --------- --------- -----------                                       
00109 080124a8 sub_80124A8 0800efd4  sub_800EFD4 0.490 16        15        Strongly connected components small-primes-product
00031 08011fe8 sub_8011FE8 0809fac0  sub_809FAC0 0.470 2         1         Same constants                                    
00048 0805f15c sub_805F15C 08004e4c  sub_8004E4C 0.470 3         7         Same constants                                    
00045 08098ad8 sub_8098AD8 080b4c34  sub_80B4C34 0.460 1         1         Same constants                                    
00126 08012628 sub_8012628 08081278  sub_8081278 0.460 20        18        Strongly connected components small-primes-product
00138 08031ad8 sub_8031AD8 080390f8  sub_80390F8 0.450 23        18        Strongly connected components small-primes-product
00038 0805dbd4 sub_805DBD4 08009d94  sub_8009D94 0.440 4         6         Same constants                                    
00047 0809485c sub_809485C 0808e644  sub_808E644 0.440 1         1         Same constants                                    
00079 0800c344 sub_800C344 08005010  sub_8005010 0.430 12        13        Strongly connected components small-primes-product
00093 0806b650 sub_806B650 0802c078  sub_802C078 0.430 13        11        Strongly connected components small-primes-product
00050 080388a4 sub_80388A4 0800ec84  sub_800EC84 0.420 3         1         Same constants                                    
00052 080102f0 sub_80102F0 0800e160  sub_800E160 0.420 15        8         Same constants                                    
00083 0806d0fc sub_806D0FC 08005d8c  sub_8005D8C 0.420 12        11        Strongly connected components small-primes-product
00092 080177c4 sub_80177C4 080055dc  sub_80055DC 0.420 13        14        Strongly connected components small-primes-product
00141 08022094 sub_8022094 08038f30  sub_8038F30 0.420 25        27        Strongly connected components small-primes-product
00022 08099868 sub_8099868 080bde68  sub_80BDE68 0.410 3         1         Same constants                                    
00039 0805dd08 sub_805DD08 0800ee60  sub_800EE60 0.410 4         6         Same constants                                    
00054 08004bc0 sub_8004BC0 08006dac  sub_8006DAC 0.410 6         4         Same constants                                    
00055 0804be4c sub_804BE4C 08018fc8  sub_8018FC8 0.410 5         5         Mnemonics small-primes-product                    
00057 08042d84 sub_8042D84 0800c9f8  sub_800C9F8 0.410 12        12        Topological sort hash                             
00069 08020cb4 sub_8020CB4 0800f188  sub_800F188 0.410 11        11        Strongly connected components small-primes-product
00095 08006a9c sub_8006A9C 080b7b4c  sub_80B7B4C 0.410 14        11        Strongly connected components small-primes-product
00135 08088eb8 sub_8088EB8 0808a074  sub_808A074 0.410 23        15        Strongly connected components small-primes-product
00036 08047248 sub_8047248 0805001c  sub_805001C 0.400 1         1         Same constants                                    
00037 08099404 sub_8099404 0800ec40  sub_800EC40 0.400 1         3         Same constants                                    
00044 08095ab8 sub_8095AB8 080111e8  sub_80111E8 0.400 1         1         Same constants                                    
00049 08099314 sub_8099314 08040044  sub_8040044 0.400 1         1         Same constants                                    
00075 0808e5f0 sub_808E5F0 0802c444  sub_802C444 0.400 11        15        Strongly connected components small-primes-product
00130 080334f4 sub_80334F4 0803602c  sub_803602C 0.390 20        16        Strongly connected components small-primes-product
00021 08099824 sub_8099824 080bc664  sub_80BC664 0.380 3         1         Same constants                                    
00046 08098b80 sub_8098B80 080355e4  sub_80355E4 0.380 1         3         Same constants                                    
00053 080103b8 sub_80103B8 0800e1c4  sub_800E1C4 0.380 17        9         Same constants                                    
00061 0806b808 sub_806B808 080290f8  sub_80290F8 0.380 13        13        Topological sort hash                             
00113 08005da4 sub_8005DA4 080386cc  sub_80386CC 0.380 17        18        Strongly connected components small-primes-product
00116 08026be0 sub_8026BE0 0800a7e8  sub_800A7E8 0.380 17        17        Strongly connected components small-primes-product
00058 0806bf38 sub_806BF38 0808f970  sub_808F970 0.370 12        12        Topological sort hash                             
00140 08008728 sub_8008728 0801a7b8  sub_801A7B8 0.370 25        24        Strongly connected components small-primes-product
00101 0800751c sub_800751C 0808954c  sub_808954C 0.360 15        13        Strongly connected components small-primes-product
00144 08031900 sub_8031900 0809c838  sub_809C838 0.360 30        15        Strongly connected components small-primes-product
00020 08094ee8 sub_8094EE8 080b698c  sub_80B698C 0.350 1         1         Same constants                                    
00024 0808ab44 sub_808AB44 080966cc  sub_80966CC 0.350 10        8         Same constants                                    
00056 08001478 sub_8001478 08004510  sub_8004510 0.350 11        11        Topological sort hash                             
