Line  Address  Name        Address 2 Name 2      Ratio BBlocks 1 BBlocks 2 Description                            
----  -------  ----        --------- ------      ----- --------- --------- -----------                            
00000 08000000 sub_8000000 08000000  sub_8000000 1.000 3         3         Same RVA and hash                      
00001 080000fc sub_80000FC 080000fc  sub_80000FC 1.000 19        19        Same RVA and hash                      
00002 08000234 sub_8000234 08000234  sub_8000234 1.000 18        18        Same RVA and hash                      
00003 08000304 sub_8000304 08000304  sub_8000304 1.000 3         3         Same RVA and hash                      
00004 08000360 sub_8000360 08000360  sub_8000360 1.000 3         3         Same RVA and hash                      
00005 080003a8 sub_80003A8 080003a8  sub_80003A8 1.000 5         5         Same RVA and hash                      
00006 080003e0 sub_80003E0 080003e0  sub_80003E0 1.000 9         9         Same RVA and hash                      
00007 0800043c sub_800043C 0800043c  sub_800043C 1.000 5         5         Same RVA and hash                      
00008 08000494 sub_8000494 08000494  sub_8000494 1.000 6         6         Same RVA and hash                      
00009 08000534 sub_8000534 08000534  sub_8000534 1.000 2         2         Same RVA and hash                      
00010 08000e98 sub_8000E98 08000e98  sub_8000E98 1.000 1         1         Same RVA and hash                      
00011 08000eb4 sub_8000EB4 08000eb4  sub_8000EB4 1.000 2         2         Same RVA and hash                      
00012 08000eec sub_8000EEC 08000eec  sub_8000EEC 1.000 2         2         Same RVA and hash                      
00013 08000f04 sub_8000F04 08000f04  sub_8000F04 1.000 1         1         Same RVA and hash                      
00014 08000f20 sub_8000F20 08000f20  sub_8000F20 1.000 3         3         Same RVA and hash                      
00015 08000fd4 sub_8000FD4 08000fd4  sub_8000FD4 1.000 1         1         Same RVA and hash                      
00016 08000ff0 sub_8000FF0 08000ff0  sub_8000FF0 1.000 1         1         Same RVA and hash                      
00017 08001010 sub_8001010 08001010  sub_8001010 1.000 1         1         Same RVA and hash                      
00018 08001034 sub_8001034 08001034  sub_8001034 1.000 1         1         Same RVA and hash                      
00019 08001048 sub_8001048 08001048  sub_8001048 1.000 1         1         Same RVA and hash                      
00020 08002234 sub_8002234 0800235c  sub_800235C 1.000 9         9         Same order and hash                    
00021 03002d8c sub_3002D8C 03002e6c  sub_3002E6C 1.000 18        18        Same order and hash                    
00022 03002e5c sub_3002E5C 03002f3c  sub_3002F3C 1.000 3         3         Same order and hash                    
00023 03002eb8 sub_3002EB8 03002f98  sub_3002F98 1.000 3         3         Same order and hash                    
00024 03002f00 sub_3002F00 03002fe0  sub_3002FE0 1.000 5         5         Same order and hash                    
00025 03002f38 sub_3002F38 03003018  sub_3003018 1.000 9         9         Same order and hash                    
00026 03002f94 sub_3002F94 03003074  sub_3003074 1.000 5         5         Same order and hash                    
00027 03002fec sub_3002FEC 030030cc  sub_30030CC 1.000 6         6         Same order and hash                    
00028 08000b9c sub_8000B9C 08000b94  sub_8000B94 1.000 1         1         Function hash                          
00029 08000bc0 sub_8000BC0 08000bb8  sub_8000BB8 1.000 4         4         Function hash                          
00030 08000d54 sub_8000D54 08000d4c  sub_8000D4C 1.000 1         1         Function hash                          
00031 08000db0 sub_8000DB0 08000da8  sub_8000DA8 1.000 1         1         Function hash                          
