Line  Address  Name        Address 2 Name 2      Ratio BBlocks 1 BBlocks 2 Description                            
----  -------  ----        --------- ------      ----- --------- --------- -----------                            
00000 08000000 sub_8000000 08000000  sub_8000000 1.000 3         3         Same RVA and hash                      
00001 080000fc sub_80000FC 080000fc  sub_80000FC 1.000 19        19        Same RVA and hash                      
00002 08000234 sub_8000234 08000234  sub_8000234 1.000 18        18        Same RVA and hash                      
00003 08000304 sub_8000304 08000304  sub_8000304 1.000 3         3         Same RVA and hash                      
00004 08000360 sub_8000360 08000360  sub_8000360 1.000 3         3         Same RVA and hash                      
00005 080003a8 sub_80003A8 080003a8  sub_80003A8 1.000 5         5         Same RVA and hash                      
00006 080003e0 sub_80003E0 080003e0  sub_80003E0 1.000 9         9         Same RVA and hash                      
00007 0800043c sub_800043C 0800043c  sub_800043C 1.000 5         5         Same RVA and hash                      
00008 08000494 sub_8000494 08000494  sub_8000494 1.000 6         6         Same RVA and hash                      
00009 08000534 sub_8000534 08000534  sub_8000534 1.000 2         2         Same RVA and hash                      
00010 0300375c sub_300375C 030036fc  sub_30036FC 1.000 19        18        Same order and hash                    
00011 08000b88 sub_8000B88 08000b60  sub_8000B60 1.000 3         3         Function hash                          
00012 08000c64 sub_8000C64 08000c3c  sub_8000C3C 1.000 3         3         Function hash                          
00013 08000c80 sub_8000C80 08000c58  sub_8000C58 1.000 3         3         Function hash                          
00014 08000ca0 sub_8000CA0 08000c78  sub_8000C78 1.000 3         3         Function hash                          
00015 08000cb8 sub_8000CB8 08000c90  sub_8000C90 1.000 3         3         Function hash                          
00016 08000d40 sub_8000D40 08000cf0  sub_8000CF0 1.000 3         3         Function hash                          
00017 08000e14 sub_8000E14 08000dc4  sub_8000DC4 1.000 4         4         Function hash                          
00018 08000e9c sub_8000E9C 08000e4c  sub_8000E4C 1.000 1         1         Function hash                          
00019 08000f44 sub_8000F44 08000ef4  sub_8000EF4 1.000 12        12        Function hash                          
00020 08000fa4 sub_8000FA4 08000f54  sub_8000F54 1.000 3         3         Function hash                          
00021 08000fdc sub_8000FDC 08000f8c  sub_8000F8C 1.000 1         1         Function hash                          
00022 08001004 sub_8001004 08000fb4  sub_8000FB4 1.000 3         3         Function hash                          
00023 0800104c sub_800104C 08000ffc  sub_8000FFC 1.000 1         1         Function hash                          
00024 0800106c sub_800106C 0800101c  sub_800101C 1.000 3         3         Function hash                          
00025 08001094 sub_8001094 08001044  sub_8001044 1.000 9         9         Function hash                          
00026 080010f0 sub_80010F0 080010a0  sub_80010A0 1.000 9         9         Function hash                          
00027 08001420 sub_8001420 080013dc  sub_80013DC 1.000 1         1         Function hash                          
00028 0800148c sub_800148C 08001448  sub_8001448 1.000 12        12        Function hash                          
00029 08001530 sub_8001530 080014ec  sub_80014EC 1.000 3         3         Function hash                          
00030 080016c4 sub_80016C4 08001650  sub_8001650 1.000 6         6         Function hash                          
00031 08001710 sub_8001710 0800169c  sub_800169C 1.000 3         3         Function hash                          
00032 0800172c sub_800172C 080016b8  sub_80016B8 1.000 6         6         Function hash                          
00033 080017b4 sub_80017B4 08001740  sub_8001740 1.000 6         6         Function hash                          
