Line  Address  Name        Address 2 Name 2      Ratio BBlocks 1 BBlocks 2 Description                                                    
----  -------  ----        --------- ------      ----- --------- --------- -----------                                                    
00000 08000304 sub_8000304 08000304  sub_8000304 1.000 3         3         100% equal                                                     
00001 08000360 sub_8000360 08000360  sub_8000360 1.000 3         3         100% equal                                                     
00002 080003a8 sub_80003A8 080003a8  sub_80003A8 1.000 5         5         100% equal                                                     
00003 080003e0 sub_80003E0 080003e0  sub_80003E0 1.000 9         9         100% equal                                                     
00004 0800043c sub_800043C 0800043c  sub_800043C 1.000 5         5         100% equal                                                     
00005 08000000 sub_8000000 08000000  sub_8000000 1.000 3         3         Same RVA and hash                                              
00006 080000fc sub_80000FC 080000fc  sub_80000FC 1.000 19        19        Same RVA and hash                                              
00007 08000234 sub_8000234 08000234  sub_8000234 1.000 18        18        Same RVA and hash                                              
00008 08000494 sub_8000494 08000494  sub_8000494 1.000 6         6         Same RVA and hash                                              
00009 08000534 sub_8000534 08000534  sub_8000534 1.000 2         2         Same RVA and hash                                              
00010 03002e6c sub_3002E6C 030036fc  sub_30036FC 1.000 18        18        Same order and hash                                            
00011 03002f3c sub_3002F3C 030037cc  sub_30037CC 1.000 3         3         Same order and hash                                            
00012 03002f98 sub_3002F98 03003828  sub_3003828 1.000 3         3         Same order and hash                                            
00013 03002fe0 sub_3002FE0 03003870  sub_3003870 1.000 5         5         Same order and hash                                            
00014 03003018 sub_3003018 030038a8  sub_30038A8 1.000 9         9         Same order and hash                                            
00015 03003074 sub_3003074 03003904  sub_3003904 1.000 5         6         Same order and hash                                            
00016 030030cc sub_30030CC 0300395c  sub_300395C 1.000 6         6         Same order and hash                                            
00017 080042fc sub_80042FC 08002b58  sub_8002B58 1.000 5         5         Function hash                                                  
00018 0800456c sub_800456C 08002dd4  sub_8002DD4 1.000 3         3         Function hash                                                  
00019 080045fc sub_80045FC 08002e74  sub_8002E74 1.000 7         7         Function hash                                                  
00020 08004aac sub_8004AAC 0800332c  sub_800332C 1.000 5         5         Function hash                                                  
00021 08004ae4 sub_8004AE4 08003364  sub_8003364 1.000 3         3         Function hash                                                  
00022 08004c6c sub_8004C6C 08003570  sub_8003570 1.000 6         6         Function hash                                                  
00023 08004d04 sub_8004D04 08003608  sub_8003608 1.000 4         4         Function hash                                                  
00024 08004d54 sub_8004D54 08003658  sub_8003658 1.000 1         1         Function hash                                                  
00025 08004f5c sub_8004F5C 08003868  sub_8003868 1.000 5         5         Function hash                                                  
00026 08004fa8 sub_8004FA8 080038b4  sub_80038B4 1.000 5         5         Function hash                                                  
00027 08005280 sub_8005280 08003bc4  sub_8003BC4 1.000 1         1         Function hash                                                  
