Line  Address  Name        Address 2 Name 2      Ratio BBlocks 1 BBlocks 2 Description                                       
----  -------  ----        --------- ------      ----- --------- --------- -----------                                       
00103 080b3ab4 sub_80B3AB4 0809ad4c  sub_809AD4C 0.992 12        12        Topological sort hash                             
00094 08045024 sub_8045024 08049ddc  sub_8049DDC 0.990 5         6         Mnemonics small-primes-product                    
00098 08047970 sub_8047970 0804c784  sub_804C784 0.990 1         1         Pseudo-code fuzzy hash                            
00102 08001d64 sub_8001D64 08001448  sub_8001448 0.990 12        12        Topological sort hash                             
00108 0801b1f0 sub_801B1F0 0801b2f4  sub_801B2F4 0.990 40        39        Strongly connected components small-primes-product
00070 08078cf0 sub_8078CF0 08085d00  sub_8085D00 0.985 5         5         Same MD Index and constants                       
00069 080692a0 sub_80692A0 08068704  sub_8068704 0.982 3         3         Same MD Index and constants                       
00048 080307e4 sub_80307E4 080c33a0  sub_80C33A0 0.980 11        11        Same rare MD Index                                
00072 0809cea8 sub_809CEA8 080c4fc0  sub_80C4FC0 0.980 4         4         Same MD Index and constants                       
00097 0803a6b8 sub_803A6B8 0803f0ec  sub_803F0EC 0.980 23        22        Pseudo-code fuzzy hash                            
00101 080afbe8 sub_80AFBE8 08026720  sub_8026720 0.978 11        11        Topological sort hash                             
00067 0805d08c sub_805D08C 08061fe6  sub_8061FE6 0.973 4         4         Same MD Index and constants                       
00046 08076080 sub_8076080 0808375c  sub_808375C 0.970 11        11        Same rare MD Index                                
00047 08076164 sub_8076164 080837b8  sub_80837B8 0.970 11        11        Same rare MD Index                                
00095 08027ba4 sub_8027BA4 08029590  sub_8029590 0.970 1         1         Pseudo-code fuzzy hash                            
00055 0805c6a8 sub_805C6A8 08061614  sub_8061614 0.960 1         1         Same rare constant                                
00056 080608b8 sub_80608B8 08065778  sub_8065778 0.960 1         1         Same rare constant                                
00057 080611cc sub_80611CC 08066128  sub_8066128 0.960 1         1         Same rare constant                                
00058 080612d4 sub_80612D4 08066234  sub_8066234 0.960 1         1         Same rare constant                                
00059 080613b8 sub_80613B8 08066318  sub_8066318 0.960 1         1         Same rare constant                                
00099 080550b4 sub_80550B4 0805b180  sub_805B180 0.960 27        28        Pseudo-code fuzzy hash                            
00096 0802b4dc sub_802B4DC 0802d664  sub_802D664 0.950 1         1         Pseudo-code fuzzy hash                            
