Line  Address  Name        Address 2 Name 2      Ratio BBlocks 1 BBlocks 2 Description                                       
----  -------  ----        --------- ------      ----- --------- --------- -----------                                       
00007 0807f590 sub_807F590 0806b1b4  sub_806B1B4 0.500 4         3         Same constants                                    
00089 0808f970 sub_808F970 08024bf0  sub_8024BF0 0.490 12        12        Topological sort hash                             
00125 0803becc sub_803BECC 080244ac  sub_80244AC 0.490 13        11        Strongly connected components small-primes-product
00074 0800ec84 sub_800EC84 0801153c  sub_801153C 0.460 1         1         Same constants                                    
00106 0800f188 sub_800F188 08011e44  sub_8011E44 0.460 11        11        Strongly connected components small-primes-product
00140 0800cf2c sub_800CF2C 080c77f8  sub_80C77F8 0.450 15        16        Strongly connected components small-primes-product
00025 0802e380 sub_802E380 0800ca94  sub_800CA94 0.440 1         3         Same constants                                    
00033 080be04c sub_80BE04C 080b40f0  sub_80B40F0 0.440 4         3         Same constants                                    
00039 0800ec40 sub_800EC40 08086870  sub_8086870 0.440 3         1         Same constants                                    
00040 08010f48 sub_8010F48 08062b64  sub_8062B64 0.430 1         3         Same constants                                    
00148 0807931c sub_807931C 08086acc  sub_8086ACC 0.430 16        11        Strongly connected components small-primes-product
00182 0802ae44 sub_802AE44 0802b970  sub_802B970 0.430 40        24        Strongly connected components small-primes-product
00061 080563c8 sub_80563C8 080d2c48  sub_80D2C48 0.420 3         7         Same constants                                    
00109 080bdebc sub_80BDEBC 0800f7b0  sub_800F7B0 0.420 11        13        Strongly connected components small-primes-product
00155 080a8b98 sub_80A8B98 080a5048  sub_80A5048 0.420 18        14        Strongly connected components small-primes-product
00032 08033fe8 sub_8033FE8 0800de3c  sub_800DE3C 0.410 12        15        Same constants                                    
00084 0806d3f8 sub_806D3F8 08023f20  sub_8023F20 0.410 11        11        Topological sort hash                             
00116 080ac324 sub_80AC324 08012430  sub_8012430 0.410 12        11        Strongly connected components small-primes-product
00119 0804a360 sub_804A360 08001570  sub_8001570 0.410 12        17        Strongly connected components small-primes-product
00131 08075584 sub_8075584 0800ac34  sub_800AC34 0.410 14        11        Strongly connected components small-primes-product
00023 08000e98 sub_8000E98 08000cb4  sub_8000CB4 0.400 1         1         Same constants                                    
00068 080b15f0 sub_80B15F0 08070bec  sub_8070BEC 0.400 1         1         Same constants                                    
00115 0807ef7c sub_807EF7C 08018ac4  sub_8018AC4 0.390 12        14        Strongly connected components small-primes-product
