Line  Address  Name        Address 2 Name 2      Ratio BBlocks 1 BBlocks 2 Description                            
----  -------  ----        --------- ------      ----- --------- --------- -----------                            
00000 08000000 sub_8000000 08000000  sub_8000000 1.000 3         3         Same RVA and hash                      
00001 080000fc sub_80000FC 080000fc  sub_80000FC 1.000 19        19        Same RVA and hash                      
00002 08000234 sub_8000234 08000234  sub_8000234 1.000 18        18        Same RVA and hash                      
00003 08000304 sub_8000304 08000304  sub_8000304 1.000 3         3         Same RVA and hash                      
00004 08000360 sub_8000360 08000360  sub_8000360 1.000 3         3         Same RVA and hash                      
00005 080003a8 sub_80003A8 080003a8  sub_80003A8 1.000 5         5         Same RVA and hash                      
00006 080003e0 sub_80003E0 080003e0  sub_80003E0 1.000 9         9         Same RVA and hash                      
00007 0800043c sub_800043C 0800043c  sub_800043C 1.000 5         5         Same RVA and hash                      
00008 08000494 sub_8000494 08000494  sub_8000494 1.000 6         6         Same RVA and hash                      
00009 08000534 sub_8000534 08000534  sub_8000534 1.000 2         2         Same RVA and hash                      
00010 08051aec sub_8051AEC 080524a4  sub_80524A4 1.000 4         4         Same order and hash                    
00011 03002f4c sub_3002F4C 03002e6c  sub_3002E6C 1.000 18        18        Same order and hash                    
00012 0300301c sub_300301C 03002f3c  sub_3002F3C 1.000 3         3         Same order and hash                    
00013 03003078 sub_3003078 03002f98  sub_3002F98 1.000 3         3         Same order and hash                    
00014 030030c0 sub_30030C0 03002fe0  sub_3002FE0 1.000 5         5         Same order and hash                    
00015 030030f8 sub_30030F8 03003018  sub_3003018 1.000 9         9         Same order and hash                    
00016 03003154 sub_3003154 03003074  sub_3003074 1.000 5         5         Same order and hash                    
00017 030031ac sub_30031AC 030030cc  sub_30030CC 1.000 6         6         Same order and hash                    
00018 08000bbc sub_8000BBC 08000b94  sub_8000B94 1.000 1         1         Function hash                          
00019 08000be0 sub_8000BE0 08000bb8  sub_8000BB8 1.000 4         4         Function hash                          
00020 08000d74 sub_8000D74 08000d4c  sub_8000D4C 1.000 1         1         Function hash                          
00021 08000dd0 sub_8000DD0 08000da8  sub_8000DA8 1.000 1         1         Function hash                          
00022 08000e04 sub_8000E04 08000ddc  sub_8000DDC 1.000 4         4         Function hash                          
00023 08000e30 sub_8000E30 08000e08  sub_8000E08 1.000 4         4         Function hash                          
00024 08000e60 sub_8000E60 08000e38  sub_8000E38 1.000 4         4         Function hash                          
00025 08000e84 sub_8000E84 08000e5c  sub_8000E5C 1.000 4         4         Function hash                          
00026 08000ec0 sub_8000EC0 08000e98  sub_8000E98 1.000 1         1         Function hash                          
00027 08000edc sub_8000EDC 08000eb4  sub_8000EB4 1.000 2         2         Function hash                          
00028 08000f14 sub_8000F14 08000eec  sub_8000EEC 1.000 2         2         Function hash                          
00029 08000f2c sub_8000F2C 08000f04  sub_8000F04 1.000 1         1         Function hash                          
00030 08000f48 sub_8000F48 08000f20  sub_8000F20 1.000 3         3         Function hash                          
00031 08000ffc sub_8000FFC 08000fd4  sub_8000FD4 1.000 1         1         Function hash                          
00032 08001018 sub_8001018 08000ff0  sub_8000FF0 1.000 1         1         Function hash                          
