EA       Name        Basicblocks Instructions Edges
--       ----        ----------- ------------ -----
080049C0 sub_80049C0     1            2           0
0800A390 sub_800A390     1            6           0
0800FC88 sub_800FC88     1           17           0
0801006C sub_801006C     1           19           0
0801009C sub_801009C     9           37          11
080102DC sub_80102DC     1           20           0
08010310 sub_8010310     9           37          11
08012FB0 sub_8012FB0     1            9           0
08013FD0 sub_8013FD0     1            6           0
08015900 sub_8015900     1            8           0
0801B624 sub_801B624     1            2           0
0801B628 sub_801B628     1            2           0
0801BA30 sub_801BA30     1            2           0
0801BB5C sub_801BB5C     1            2           0
0801BC68 sub_801BC68     1            2           0
0801BFC8 sub_801BFC8     1            2           0
0801C160 sub_801C160     1            2           0
0801C554 sub_801C554     1            2           0
0801C558 sub_801C558     1            7           0
080219B8 sub_80219B8     1            2           0
08021A88 sub_8021A88     1            2           0
08021C24 sub_8021C24     1            2           0
08027000 sub_8027000     1           17           0
08027790 sub_8027790     1            2           0
08029FA8 sub_8029FA8     1            2           0
0802BB88 sub_802BB88     1            6           0
0802BC98 sub_802BC98     1            6           0
0802BCAC sub_802BCAC     1            6           0
08030998 sub_8030998     1           13           0
08031648 sub_8031648     1           12           0
08034770 sub_8034770     1           18           0
08035C68 sub_8035C68     1            2           0
0803FBD0 sub_803FBD0    14          100          20
08043864 sub_8043864     3           31           3
08058B6C sub_8058B6C     1           26           0
0807A284 sub_807A284     7           29           7
0807A2E4 sub_807A2E4     7           29           7
0807A344 sub_807A344     7           29           7
0807A3A4 sub_807A3A4     4           23           5
0807A3DC sub_807A3DC     4           23           5
0807A414 sub_807A414     4           23           5
0807A494 sub_807A494     9           26          13
0807DC9C sub_807DC9C     1           18           0
0807DE0C sub_807DE0C     1           16           0
0807DE80 sub_807DE80     1           12           0
0807E050 sub_807E050     1           12           0
0807E1C4 sub_807E1C4     1           12           0
0807E27C sub_807E27C     1           13           0
0807E2CC sub_807E2CC     1           12           0
0807E584 sub_807E584     3           35           3
0807E734 sub_807E734     1           10           0
0807E934 sub_807E934     1           10           0
08086748 sub_8086748     6           53           8
08088C78 sub_8088C78    16           46          25
0808E4D4 sub_808E4D4     1            9           0
08090A88 sub_8090A88     4           10           4
080960C4 sub_80960C4     1           11           0
0809987C sub_809987C     1           19           0
080A2A50 sub_80A2A50     4            9           4
080A2A6C sub_80A2A6C     4           10           4
080A2A88 sub_80A2A88     4            9           4
080A42A8 sub_80A42A8     1           55           0
080A577C sub_80A577C     1           17           0
080A5D24 sub_80A5D24     5           26           6
080A7834 sub_80A7834    41          159          63
080AB268 sub_80AB268     1           15           0
080AB28C sub_80AB28C     1           14           0
080ABC04 sub_80ABC04     4           16           4
080B018C sub_80B018C     1           23           0
080B84A4 sub_80B84A4     4           10           4
080BD850 sub_80BD850     1           17           0
080BD928 sub_80BD928     4           32           4
